"I'm gonna make him an offer he can't refuse.";The Godfather
"Help me, Obi-Wan Kenobi. You're my only hope.";Star Wars
"Get busy living, or get busy dying.";The Shawshank Redemption
"Why so serious?";The Dark Knight
"My mama always said life was like a box of chocolates, you never know what you're gonna get.";Forrest Gump
"I'm sorry, did I break your concentration?";Pulp Fiction
"I'm the king of the world!";Titanic
"Avengers! Assemble.";Avengers
"I'm not gonna bury my son. My son is gonna bury me.";Creed
"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.";The Matrix
